id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final
1.3047857026143724e+18,90538995.0,woke up to see if the justin bieber pandemic was over going back to sleep,woke up to see if the justin bieber pandemic was over. going back to sleep,woke to see the justin bieber pandemic go back to sleep
1.3047857023081964e+18,8.497238877891214e+17,our intention is to make sure that evidence sciencebased data drives policy through this pandemic not ulterior deep state motives in the bowels of cdc he caputo said  ugh,"@TeresaCCarter2 “Our intention is to make sure that evidence, science-based data drives policy through this pandemic—not ulterior deep state motives in the bowels of CDC,"" he [Caputo] said.

Ugh.", intention to make sure evidence sciencebased data drive policy pandemic ulterior deep state motif the bowel cdc caputo say ugh
1.3047857028743004e+18,1.2938296925757604e+18,for more information contact us  mail  follow on instagram  gym  gymlife gymnastics gymaddicated covid19 gymjordan gymnastalliance gymbunny gymsetup gymgay rajkot startups startupindia startuplife business,"For More Information contact us. 
Mail:- digitalabsolute8@gmail.com

Follow on 📷INSTAGRAM
@digit_alabsolut
#gym 🏋🚴💪 #gymlife #gymnastics #Gymaddicated #COVIDー19 #GymJordan #gymnastalliance #gymbunny #GymSetup #gymgay #Rajkot #startups #StartupIndia #startuplife #business https://t.co/1YdXp3aL0d",information contact u mail follow instagram gym gymlife gymnastics gymaddicated covid19 gymjordan gymnastalliance gymbunny gymsetup gymgay rajkot startup startupindia startuplife business
1.304785703155503e+18,1.188901797072556e+18,uae reports 1007 new covid19 cases highest since outbreak,"UAE reports 1,007 new Covid-19 cases, highest since outbreak https://t.co/H5TichC6fB",uae report 1007 new covid19 case high since outbreak
1.3047857036043018e+18,227383015.0,trump officials interfered with cdc reports on covid19  politico,Trump officials interfered with CDC reports on Covid-19 - POLITICO https://t.co/FdO5Badvah,trump official interfere cdc report covid19 politico
1.3047857040068813e+18,8.145147001594839e+17,the cdc approved mutual masturbation as long as both parties wear a mask,The CDC approved mutual masturbation as long as both parties wear a mask.,the cdc approve mutual masturbation long party wear mask
1.3047857042711757e+18,27021380.0,yet another reason to vote ⁦⁩ out like we don’t already have enough reasons 52 daysvote like your life depends on it because it literally does notmypresident covidiot trumpdoesntcare trumpknew trumpliedpeopledied voteblue,Yet another reason to vote ⁦@realDonaldTrump⁩ out. Like we don’t already have enough reasons. 52 days...Vote like your life depends on it because it literally does. #NotMyPresident #Covidiot #TrumpDoesntCare #TrumpKnew #TrumpLiedPeopleDied #VoteBlue https://t.co/yDly2jXVlt,yet another reason to vote ⁦⁩ out like  already enough reason 52 daysvote like your life depends literally notmypresident covidiot trumpdoesntcare trumpknew trumpliedpeopledied voteblue
1.3047857051350385e+18,35239395.0,as we open up shops and transport the cases are expected to shoot up fear about a probable 2nd wave is farfetched because the 1st wave itself is still strong and growing so here are some measures id highly recommend to everyone to be able to sail through this tide 3n,"As we open up shops and transport, the cases are expected to shoot up. Fear about a probable 2nd wave is far-fetched because the 1st wave itself is still strong and growing. So, here are some measures I'd highly recommend to everyone to be able to sail through this tide: (3/n)",open shop transport the case expect to shoot fear probable 2nd wave farfetched the 1st wave still strong grow measure id highly recommend to everyone to able to sail tide 3n
1.3047857034784072e+18,2337076434.0,best of luck to all our teams and clubs kicking off their fall seasons today its been almost a full year without soccer lets do this maskup,Best of luck to all our teams and clubs kicking off their fall seasons today! It's been almost a full year without soccer. Let's do this! #maskup https://t.co/RGzRvG8VXw,best luck to team club kick fall season today almost full year without soccer let do maskup
1.3047857053364838e+18,58256324.0,coronavirus isolation rulebreakers in england may be fined says gove,"Coronavirus: isolation rule-breakers in England may be fined, says Gove https://t.co/rYPpeg59U3",coronavirus isolation rulebreakers england may fin say gove
