id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.3047857053616456e+18,1.10880549958631e+18,people on the team are definitely testing positive did you read fuentes comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend,@Ruebush77 @LazeVT People on the team are definitely testing positive did you read Fuente's comments earlier in the week about not being sure about fielding a competitive team if they had to play this weekend?,people the team definitely test positive read fuentes comment earlier the week sure fielding competitive team to play weekend,100,end
1.3047857071400264e+18,1.2708207989499208e+18,i miss my mf bestfriends  bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,i miss my mf bestfriends )): bts ima see u soon don’t worry i’m coming ima fight corona so i can see u i’ll find a cure,miss mf bestfriends bts ima see u soon  worry  come ima fight corona see u  find cure,100,worry
1.304785717491634e+18,4231833855.0,recommended read  whats more the coronavirus is sweeping across england and the uk seems certain to enter a period of lockdown if the transition to adulthood isnt difficult enough,"Recommended read - What's more, the coronavirus is sweeping across England and the UK seems certain to enter a period of lockdown. If the transition to adulthood isn't difficult enough. @HoraceCornflake https://t.co/0yu7Fa6Knm https://t.co/9D1PVOCI2W",recommend read whats the coronavirus sweep across england the uk seem certain to enter period lockdown the transition to adulthood isnt difficult enough,100,end
1.3047857483449344e+18,1193239406.0,i tend to tip at a much higher  now than i did before covid19 struck and ive always been a generous tipper,@greta I tend to tip at a much higher % now than I did before Covid-19 struck. And I've always been a generous tipper.,tend to tip at much high covid19 struck ive always generous tipper,100,end
1.3047857499513528e+18,1.2932974965135565e+18,after the toilet paper shortage trump as our leader was right to keep calm when covid broke  people overreact out of fear and a good leader will try to keep fear at a minimum i judge trump by his actions  and dr fauci said trumps quick action saved thousands trump 2020,"@HaroldFordJr @FoxNews @BretBaier @SpecialReport After the toilet paper shortage, Trump, as our leader, was right to keep calm when Covid broke.  People overreact out of fear, and a good leader will try to keep fear at a minimum. I judge Trump by his actions - and Dr. Fauci said Trumps quick action saved thousands.
TRUMP 2020",the toilet paper shortage trump leader right to keep calm covid broke people overreact out fear good leader try to keep fear at minimum judge trump action dr fauci say trump quick action save thousand trump 2020,100,toilet paper
1.3047857520022364e+18,1.3022044612851712e+18,lets hug each other and look at each others eyes lets be sure to meet once covid ends were doing what we can do as hard as we can i hope youll do your best too lets pray that things will get better soon and get through this winter lets meet the spring day together rm,"Let's hug each other and look at each other's eyes. Let's be sure to meet once COVID ends. We're doing what we can do as hard as we can, I hope you'll do your best too. Let's pray that things will get better soon and get through this winter. Let's meet the spring day together. RM https://t.co/tJwUFqBAYV",let hug look at others eye let sure to meet covid end do hard hope youll do your best let pray thing get well soon get winter let meet the spring day together rm,100,end
1.304785760965419e+18,1.30406491515861e+18,im selling butterfly face mask extender  extension  ear savers  connector  adapter for rm500 get it on shopee now shopeemy,I'm selling Butterfly Face Mask Extender / Extension / Ear Savers / Connector / Adapter for RM5.00. Get it on Shopee now! https://t.co/j2ocCDE51e #ShopeeMY https://t.co/Nq2NGAe80f,im sell butterfly face mask extender extension ear saver connector adapter rm500 get shopee shopeemy,100,end
1.3047857757923942e+18,22300183.0,the cdc recommends against wearing a face mask with a valve,The CDC Recommends Against Wearing a Face Mask With a Valve  https://t.co/DJmWFVaT4X,the cdc recommends wear face mask valve,100,end
1.3047858122282762e+18,7.682931228287425e+17,you can stop sending me false information now  also ive had covid it did way more damage than any mask does   the benefits of wearing masks outweigh the risks  wear your damn mask,"@MydNanny You can stop sending me false information now.

Also, I've had Covid. It did way more damage than any mask does. 

The benefits of wearing masks outweigh the risks.

WEAR YOUR DAMN MASK",stop send false information also ive covid way damage mask the benefit wear mask outweigh the risk wear your damn mask,100,end
1.3047858151307343e+18,3164705941.0,for your weekend musical break lets stay together quarantine style from mike mcdonald amp other st louis esp ferguson musicians from yesterday amp today,".@WaltSchub @SethAbramson For your weekend musical break: ""Let's Stay Together"" quarantine style from Mike McDonald &amp; other St. Louis (esp. Ferguson) musicians from yesterday &amp; today.
https://t.co/hp5Bcvdkpm",your weekend musical break let stay together quarantine style from mike mcdonald amp st louis esp ferguson musician from yesterday amp today,100,end
