id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.304785727142744e+18,825155665.0,the data generated so far are mostly individual case studies and lowpowered studies with small numbers of patients large clinical trials are needed for therapies to be generally approved ill link some openaccess scientific papers in subsequent tweets,"@HardMoneyCowboy @SteveSkojec @MarkBra32931299 @SpencerCasey13 The data generated so far are mostly individual case studies and low-powered studies with small numbers of patients. Large, clinical trials are needed for therapies to be generally approved. I'll link some open-access scientific papers in subsequent tweets.",the data generate far mostly individual case study lowpowered study small number patient large clinical trial need therapy to generally approve ill link openaccess scientific paper subsequent tweet,100,large
1.3047857468853327e+18,2262010626.0,this is pelosi and others inviting people to china town and down playing the virus after the travel ban,"https://t.co/eqhxBOMMnn
THIS IS PELOSI AND OTHERS INVITING PEOPLE TO CHINA TOWN AND DOWN PLAYING THE VIRUS AFTER THE TRAVEL BAN.",pelosi others invite people to china town play the virus the travel ban,100,travel
1.3047857903172076e+18,1.149196887959851e+18,i had an argument and didnt allow a family friend army officer and his wife to enter my home because they insisted that wearing a mask is unnecessary  wtf,"I had an argument and didn't allow a family friend (army officer) and his wife to enter my home because they insisted that wearing a mask is unnecessary...

Wtf?",argument didnt allow family friend army officer wife to enter home insist wear mask unnecessary wtf,100,unnecessary
1.3047857948346e+18,3152371458.0,strictly come dancing cancel blackpool special due to covid19 travel concerns,Strictly Come Dancing CANCEL Blackpool special due to COVID-19 travel concerns https://t.co/UTx9h5Ia9G,strictly come dance cancel blackpool special due to covid19 travel concern,100,travel
1.3047858243288883e+18,352741335.0,i get the reasoning though reducing travel off campus reduces the risk of people bring covid back with them it definitely feels like a real loselose more than ever the lack of universities’ ability to properly support their students’ mental health is abundantly clear,"@mindsetssb I get the reasoning though, reducing travel off campus reduces the risk of people bring COVID back with them. It definitely feels like a real lose-lose. More than ever, the lack of universities’ ability to properly support their students’ mental health is abundantly clear.",get the reason though reduce travel campus reduces the risk people bring covid back definitely feel like real loselose ever the lack university  ability to properly support student  mental health abundantly clear,100,travel
1.3047858223030927e+18,1.2849835918484027e+18,spain holidays canary islands coronavirus tests could remove need to quarantine  travel news  travel,Spain holidays: Canary Islands coronavirus tests could remove need to quarantine | Travel News | Travel https://t.co/4Qf4A0mfMG,spain holiday canary island coronavirus test could remove need to quarantine travel news travel,100,travel
1.3047858531731087e+18,7.485984377472326e+17,23jan trump briefed 27jan task force formed 31jan china travel ban amp public health emergency 9feb govs briefed 29feb asia me travel bans 4mar bought 500m n95 11mar eu travel ban 13mar declared natl emergency  16mar trump recommends lockdown safety measures  53 days,"@TobiasTheGeek @seanhannity @realDonaldTrump 23Jan Trump briefed
27Jan Task Force formed
31Jan China travel ban &amp; public health emergency
9Feb Govs briefed
29Feb Asia, ME travel bans
4Mar bought 500M N95
11Mar EU travel ban
13Mar declared Nat'l Emergency 
16Mar Trump recommends lockdown, safety measures

53 days....",23jan trump briefed 27jan task force form 31jan china travel ban amp public health emergency 9feb govs briefed 29feb asia travel ban 4mar bought 500m n95 11mar eu travel ban 13mar declare natl emergency 16mar trump recommends lockdown safety measure 53 day,100,travel
1.3047858590786888e+18,1.0410793950820312e+18,college athletes that play and in turn make their school a large amount of revenue should be paid or allowed to profit of their namesake those athletes should especially be able to do so while they’re playing during a pandemic,college athletes that play and in turn make their school a large amount of revenue should be paid or allowed to profit of their namesake. those athletes should ESPECIALLY be able to do so while they’re playing during a pandemic!!,college athlete play turn make school large amount revenue paid allow to profit namesake athlete especially able to do  play pandemic,100,large
1.30478595829069e+18,1.296050150633136e+18,australiasupportssr with lockdown curfew amp restriction only to travel to 5kms in melbourne we decided to donate to food bank here in melbourne    feedfood4ssr,"#Australiasupportssr With lockdown, curfew &amp; restriction only to travel to 5Kms in Melbourne, we decided to donate to food bank here in Melbourne 🇦🇺@nilotpalm3 @shwetasinghkirt @vikirti #FeedFood4SSR https://t.co/irN2p1Xfy3",australiasupportssr lockdown curfew amp restriction to travel to 5kms melbourne decide to donate to food bank melbourne feedfood4ssr,100,travel
1.3047859794719987e+18,1.1036925724116172e+18,crowds rally in new zealands auckland against coronavirus lockdown,"Crowds rally in New Zealand's Auckland against coronavirus lockdown
https://t.co/cDm0ELdP2S",crowd rally new zealand auckland coronavirus lockdown,100,crowd
