user_id,text_duplicate,final
2879999342.0,"@MeetThePress @chucktodd If Trump is doing such a great job, WHY does the USA have 30% of the global COVID-19 cases, 20% of the deaths, but ONLY 3% of the total population? I’d like to hear the asshole “spin” those facts!",trump great job the usa 30 the global covid19 case 20 the death 3 the total population  like to hear the asshole  spin  fact
1631562691.0,"@MyCielola, @FIOB_Oficial, @MayanLeague among other indigenous organizations denounce discriminatory reponse to COVID-19. https://t.co/mYPcD0wfDt",among indigenous organization denounce discriminatory reponse to covid19
417544907.0,"It’s spring break and I’m supposed to be visiting family in Tuscaloosa right now at my parents’ house with a basement, but instead it’s covid-19 so I get to stay here in my flimsy top floor apartment &amp; pray I can get into my office bldg if necessary.

ApRiL 2020 ¯\_(ツ)_/¯",spring break  suppose to visit family tuscaloosa right at parent  house basement instead  covid19 get to stay flimsy top floor apartment amp pray get office bldg necessary april 2020 ¯¯
1003550108.0,One of my hardworking pharmacy techs fell ill today with #coronavirus symptoms. We are waiting the results of her test. Stay home people. This virus is serious,one hardworking pharmacy tech fell ill today coronavirus symptom wait the result test stay home people virus serious
1.2386348131349053e+18,Looking for a quarantine boyfriend. Just text me good morning and goodnight beautiful. #Quarantine #coronavirus,look quarantine boyfriend text good morning goodnight beautiful quarantine coronavirus
7.835133058308465e+17,"@alice_radley @MarkDStrauss @TheRickWilson 33% going back to normal is dangerous. 

Will cause a resurgence of Covid-19.
Scary.",33 go back to normal dangerous cause resurgence covid19 scary
882456098.0,New research says origin point of many U.S. coronavirus cases likely from Europe via @washtimes  https://t.co/227Cv1AJlW Extremely interesting. @veritasrepublic @myinfoingridz1 @eileendiana @9innings2 @JoyceBruns @lizpeek https://t.co/JTd4sBjvyy,new research say origin point many u coronavirus case likely from europe via extremely interest
2849172610.0,Ima need a Covid therapist after this quarantine no capppppp,ima need covid therapist quarantine no capppppp
912850946.0,"Y’all just wanna hate because it’s Tomi, but she’s actually right here. If this goes on much longer, the economy will take years to recover and even more people will die than from COVID itself. We need to reopen America to save our future",wan na hate  tomi  actually right go much longer the economy take year to recover even people die from covid need to reopen america to save future
53827280.0,"@MitchellLevin15 No, TJ’s had to close because an employee tested positive for COVID-19 😥😱 they open up tomorrow I think...I’ll be back for some",no tj  to close employee test positive covid19 open tomorrow thinki  back
23364214.0,"Wanna boost the #economy during #coronavirus (#pandemic), all creaditors should wipe the slate clean. Clear all debt, student loans included.",wan na boost the economy coronavirus pandemic creaditors wipe the slate clean clear debt student loan include
377648659.0,COVID-19??? What happen to the other 18??? https://t.co/VVSPXx8ZbG,covid19 happen to the 18
9.83008717099688e+17,We are playing COVID-19 or asthma.,play covid19 asthma
7.986782356388782e+17,Just finished up our stint on a #COVID unit! Lots of ups and some downs. Thanks to @MGHHMU and @MGHMedicine for being so welcoming to us @MGHImaging radiology residents 🙌 https://t.co/gsBrYtoYlN,finish stint covid unit lot ups down thanks to welcome to u radiology resident
7.773471489122755e+17,"@fermalife That’s very generous. I’m extremely grateful that I don’t know anyone directly, that has been affected with Covid-19. Sending best wishes and quick healing for everyone dealing with this horrible pandemic.  Good luck to everyone trying to win this giveaway.",generous  extremely grateful  know anyone directly affected covid19 send best wish quick heal everyone deal horrible pandemic good luck to everyone try to win giveaway
94248202.0,@KennyEdmonds @callmedollar So happy to hear you and your family recovered from Covid-19. God bless. Looking forward to the music battle. ❤️💞,happy to hear your family recover from covid19 god bless look forward to the music battle
607403216.0,The DoorDash delivery people I’ve interacted with this past week have more access to PPE than my dad does at the hospital with active Covid-19 exposure.,the doordash delivery people  interact past week access to ppe dad at the hospital active covid19 exposure
